Serial_number,document_id,URL,Credibility_rating,ad_count,ad_max_size,css_definitions,page_rank,bitly_clicks,bitly_referrers,tweets,delicious_bookmarks,fb_clicks,fb_comments,fb_likes,fb_shares,fb_total,alexa_linksin,alexa_rank,commas,dots,exclamations,questions,spelling_errors,text_complexity,smog,category,JJ,NN,DT,VB,RB,num_ne,sum_ne,document_url_y,X1,X2,X3,X4,X5,X9,Total,Leik,Eijk,Tastle,Leik 3 4 6,correction,resp_HNC,Controversial,troia_label
0,2199424,http://unemployment.ohio.gov/,3.7142857142857135,0.0,0.0,106.0,6.0,9.0,5.0,22.0,23.0,0.0,10.0,12.0,62.0,84.0,68.0,6137.0,101.0,114.0,1.0,0.0,98.0,6.543832913,15.90318901,computer_internet,121.0,938.0,184.0,338.0,52.0,7.0,29.0,gov,0.0,1.0,2.0,2.0,2.0,0.0,7.0,0.571428571,0.357142857,0.613196274,0.542857143,0.0,2,U,3.0
1,2199427,http://www.law.cornell.edu/wex/unemployment_compensation,4.428571428571429,4.0,75000.0,1824.0,5.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9098.0,2661.0,15.0,23.0,0.0,0.0,2.0,3.813894731,15.90318901,business,35.0,168.0,59.0,71.0,5.0,4.0,17.0,edu,0.0,0.0,1.0,2.0,4.0,0.0,7.0,0.714285714,0.714285714,0.735143276,0.6,0.0,3,U,5.0
2,2547110,http://kiem-tv.com/?q=node/4395,4.0,0.0,0.0,18.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,185.0,809409.0,19.0,18.0,0.0,1.0,26.0,3.163159951,11.20814326,health,18.0,100.0,23.0,52.0,11.0,5.0,20.0,com,0.0,0.0,2.0,3.0,2.0,0.0,7.0,0.714285714,0.571428571,0.762835715,0.657142857,0.0,2,U,4.0
3,2547112,http://www.sciencedaily.com/releases/2012/09/120902113550.htm,4.833333333333333,9.0,75000.0,383.0,3.0,45.0,9.0,100.0,2.0,0.0,17.0,35.0,113.0,165.0,50939.0,2549.0,19.0,20.0,0.0,0.0,15.0,3.727097973,14.55459255,health,39.0,156.0,46.0,67.0,21.0,8.0,24.0,com,0.0,0.0,0.0,1.0,5.0,0.0,6.0,0.916666667,0.916666667,0.892660382,0.866666667,0.0,3,U,5.0
4,2547113,http://articles.timesofindia.indiatimes.com/2013-01-02/computing/36110957_1_electronic-cigarettes-traditional-cigarettes-regular-cigarettes,3.888888888888889,2.0,75000.0,599.0,3.0,3.0,3.0,7.0,0.0,0.0,1.0,3.0,3.0,7.0,1250.0,132.0,19.0,17.0,0.0,0.0,16.0,3.35753332,14.55459255,science_technology,32.0,112.0,39.0,57.0,8.0,6.0,10.0,com,0.0,0.0,3.0,4.0,2.0,0.0,9.0,0.722222222,0.611111111,0.75675014,0.688888889,0.0,2,U,4.0
5,2201749,http://www.ofspirit.com/brucefife1.htm,3.875,0.0,0.0,0.0,1.0,10.0,5.0,4.0,0.0,0.0,84.0,45.0,60.0,189.0,373.0,564474.0,112.0,157.0,0.0,4.0,76.0,6.217603142,11.20814326,health,240.0,897.0,236.0,420.0,122.0,7.0,73.0,com,0.0,0.0,2.0,5.0,1.0,0.0,8.0,0.8125,0.75,0.822781986,0.8,0.0,2,U,1.0
6,2201753,http://www.ashtarcommandcrew.net/forum/topics/coconut-the-tree-of-life-superfood-cure-all,2.75,16.0,96000.0,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,485.0,117184.0,46.0,45.0,0.0,0.0,30.0,4.216188042,14.55459255,health,81.0,316.0,66.0,112.0,25.0,4.0,30.0,net,2.0,3.0,0.0,1.0,2.0,0.0,8.0,0.375,-0.048611111,0.314413828,0.4,-1.0,C,U,1.0
7,2201756,http://www.mindbodygreen.com/0-4348/5-Ways-to-Use-Coconut-Oil.html,4.25,13.0,75000.0,524.0,1.0,335.0,38.0,137.0,0.0,0.0,1331.0,2515.0,883.0,4729.0,3015.0,8385.0,28.0,34.0,8.0,0.0,15.0,4.3454779,8.841846275,business,44.0,198.0,29.0,85.0,37.0,2.0,11.0,com,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.625,0.625,0.691800413,0.5,-1.0,2,U,1.0
8,2214309,http://www.co-optimus.com/review/1158/page/1/guardians-of-middle-earth-co-op-review.html,4.428571428571429,4.0,75000.0,483.0,2.0,18.0,2.0,7.0,0.0,0.0,1.0,2.0,2.0,5.0,2726.0,52447.0,22.0,26.0,0.0,2.0,27.0,3.916086061,11.20814326,gaming,44.0,214.0,74.0,89.0,30.0,2.0,7.0,com,0.0,0.0,1.0,2.0,4.0,0.0,7.0,0.714285714,0.714285714,0.735143276,0.6,0.0,3,U,4.0
9,2569345,http://katieholmes.com/,3.4,9.0,75000.0,35.0,4.0,0.0,0.0,320.0,5.0,0.0,29.0,5.0,16.0,50.0,164.0,1347945.0,25.0,37.0,1.0,1.0,32.0,4.52974468,14.55459255,arts_entertainment,36.0,373.0,48.0,71.0,21.0,3.0,34.0,com,0.0,0.0,3.0,2.0,0.0,0.0,5.0,0.8,0.8,0.815012042,0.84,0.0,2,U,3.0
